"","x"
"1","LINC01480"
"2","TRAV41"
"3","UBASH3A"
"4","TRAV13-2"
"5","EVL"
"6","LINC00892"
"7","GRAP2"
"8","HLA-DOB"
"9","FCRL5"
"10","LINC02446"
"11","GZMM"
"12","TTC24"
"13","TRAV10"
"14","FCMR"
"15","JAK3"
"16","CTSW"
"17","XCL2"
"18","GPR18"
"19","IDO2"
"20","AIM2"
"21","APOBEC3G"
"22","RASGRP2"
"23","TRAV25"
"24","ANTXRLP1"
"25","IFNG"
"26","TRGV10"
"27","NLRC3"
"28","TRAV16"
"29","FCRL3"
"30","HLA-E"
"31","NUGGC"
"32","APOL3"
"33","ABCD2"
"34","TRBV12-3"
"35","LINC02273"
"36","KLRG1"
"37","BTN3A3"
"38","AC079630.1"
"39","ZAP70"
"40","TRBV12-4"
"41","FO393401.1"
"42","TRBV6-1"
"43","SENCR"
"44","TRBV10-3"
"45","AL365361.1"
"46","BATF3"
"47","TRAF1"
"48","IGFLR1"
"49","LINC00861"
"50","TBC1D10C"
"51","GIMAP7"
"52","AC243960.1"
"53","TRBV3-1"
"54","AL031846.1"
"55","KLRD1"
"56","TMC8"
"57","STAP1"
"58","IDO1"
"59","SLFN12L"
"60","TRBV11-2"
"61","CERKL"
"62","TRAV6"
"63","STAT4"
"64","GZMB"
"65","LINC00426"
"66","CD7"
"67","CD40LG"
"68","LIMD2"
"69","FCRL6"
"70","IKZF3"
"71","GIMAP5"
"72","PLA2G2D"
"73","TRAV1-1"
"74","FASLG"
"75","TRBV29-1"
"76","RIPOR2"
"77","P2RY14"
"78","MIR155HG"
"79","AKNA"
"80","KLRB1"
"81","TRBV6-6"
"82","TRGC2"
"83","TRAV22"
"84","GBP4"
"85","SLAMF6"
"86","TRBV4-2"
"87","AC007384.1"
"88","RNF175"
"89","CD5"
"90","TRAV17"
"91","AC015911.3"
"92","XCR1"
"93","LAX1"
"94","FTH1P22"
"95","CXCR2P1"
"96","GZMH"
"97","ZC3H12D"
"98","HCST"
"99","TRAV20"
"100","SLA2"
"101","BTLA"
"102","MCOLN2"
"103","TRBV27"
"104","TRBV2"
"105","TRGC1"
"106","GPR174"
"107","LINC00996"
"108","CCR7"
"109","AC007728.2"
"110","THEMIS"
"111","TBX21"
"112","GBP1P1"
"113","FUT7"
"114","CD8B"
"115","LINC01934"
"116","TRAV8-2"
"117","ADAMDEC1"
"118","PSTPIP1"
"119","AC015911.7"
"120","AF127936.1"
"121","SYTL3"
"122","IRF4"
"123","TRBV5-1"
"124","PDCD1"
"125","TRAV3"
"126","TRBC1"
"127","CD6"
"128","AD000864.1"
"129","AP005019.1"
"130","TRAV19"
"131","GIMAP6"
"132","GIMAP1"
"133","TRAV4"
"134","CD27"
"135","NKG7"
"136","LY9"
"137","STAB1"
"138","SEPTIN6"
"139","TRAV8-3"
"140","GZMA"
"141","RHOH"
"142","TRBV9"
"143","TRBV5-6"
"144","TRAT1"
"145","LINC02084"
"146","TNIP3"
"147","LTA"
"148","CD244"
"149","TRAV12-2"
"150","BTN2A2"
"151","TRBV19"
"152","AC004847.1"
"153","TRAV8-4"
"154","TOMM20P2"
"155","AL133371.2"
"156","GVINP1"
"157","EOMES"
"158","CD69"
"159","TRIM22"
"160","AL590764.1"
"161","TRBV7-9"
"162","SIT1"
"163","EBI3"
"164","LAP3"
"165","FNBP1"
"166","RGS10"
"167","P2RY10"
"168","GBP1"
"169","TESPA1"
"170","TRAV26-1"
"171","GPR171"
"172","TRAV8-6"
"173","ITK"
"174","CD8A"
"175","PYHIN1"
"176","APOBEC3H"
"177","TREML1"
"178","CXCL9"
"179","CIITA"
"180","ITPRIPL1"
"181","CD3D"
"182","GZMK"
"183","CST7"
"184","CD247"
"185","TRBV20-1"
"186","PRF1"
"187","TRBV28"
"188","NCF1C"
"189","TRBV18"
"190","RASAL3"
"191","TRG-AS1"
"192","TIFAB"
"193","PRKCB"
"194","CLEC2B"
"195","MAP4K1"
"196","CCL4"
"197","CXCR6"
"198","CD3G"
"199","SLAMF1"
