"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ENSG00000087128",-3.0434599681312,3.91579832802616,-18.9321970768379,1.0618237296355e-25,4.79589219855587e-22,46.0256280123858,"TMPRSS11E"
"ENSG00000204174",-2.71313433431983,3.63435703959079,-15.2417878370823,2.35362686817499e-21,1.50963370752054e-18,36.9253855837887,"NPY4R"
"ENSG00000142224",-2.46325543574242,3.42852983634142,-14.9093098674055,6.25544840880499e-21,3.45739964501122e-18,35.8655300008498,"IL19"
"ENSG00000248672",-2.24313768773894,3.23289857308695,-14.6239831752202,1.46295519417686e-20,7.37925962701599e-18,34.9214491211794,"LY75-CD302"
"ENSG00000279862",-2.51742322523205,3.69553879768645,-14.5366377395955,1.90129893145242e-20,8.98000769860719e-18,34.2779493945203,"AC092964.1"
"ENSG00000258404",-2.62016400698734,3.77590400024484,-14.1351903686147,6.41883270675566e-20,2.58514755385104e-17,33.2863287722828,"LINC02320"
"ENSG00000230834",-2.8817579292124,3.77757079015214,-13.7847108774533,1.88770825468008e-19,6.41006501069599e-17,33.0758420771623,"AC068580.2"
"ENSG00000212479",-2.53026902370087,3.48341896392276,-13.5937232337772,3.4202668191818e-19,1.05145883031817e-16,32.327374427599,"U3"
"ENSG00000205667",-2.60870333858212,3.54410373162077,-13.2636402841559,9.65887808421694e-19,2.6000899066705e-16,31.4291307710054,"ARSH"
"ENSG00000227300",-2.85712312826196,3.76193670445519,-12.5158008991704,1.06866398832958e-17,2.13543726344905e-15,29.35637831574,"KRT16P2"
"ENSG00000205847",-2.98528990310869,3.87046488416255,-12.5049328666702,1.10724108240025e-17,2.17900012102358e-15,29.3781361982554,"OR7E91P"
"ENSG00000276923",-2.15806550796094,3.16792584485201,-12.4094258978431,1.5131027463337e-17,2.86904160886938e-15,28.6694545308781,"AL139351.1"
"ENSG00000251144",-2.96313591494924,3.85791424699977,-12.3669733101068,1.73907202436365e-17,3.23841390515373e-15,28.9529884879576,"AC113346.1"
"ENSG00000239093",-2.62732711781813,3.57217089220652,-12.1815554338441,3.20271293586646e-17,5.6024830932662e-15,28.2411382307572,"AC068299.1"
"ENSG00000231748",-2.54316012786921,3.49919860758627,-11.9117149914189,7.85039923945385e-17,1.21026600025693e-14,27.376147030293,"AL596223.2"
"ENSG00000145779",-0.522904234104452,5.73141833574761,-11.6794657683601,1.71104298025482e-16,2.40909287252463e-14,27.2375871240817,"TNFAIP8"
"ENSG00000174325",-2.344955350835,3.31365562240583,-11.6175493594752,2.10849208617585e-16,2.86765962945497e-14,26.3667760817023,"DIRC1"
"ENSG00000255649",-1.97911320304894,3.01687071716927,-11.4086777141164,4.2809141354472e-16,5.35929187934998e-14,25.53991732726,"AC008114.1"
"ENSG00000254056",-2.43342919341764,3.39179281601221,-11.2890569937541,6.4380454607255e-16,7.77865613643099e-14,25.3814651320721,"IGHV3-71"
"ENSG00000155918",-3.25811305463252,4.36281856321043,-11.2798172505175,6.6446957617265e-16,7.99116952788747e-14,25.0596300475171,"RAET1L"
"ENSG00000228952",-3.41707295502712,4.25676623419684,-11.2597210914357,7.11760706492e-16,8.40265770582284e-14,25.5989758618256,"LINC02041"
"ENSG00000254024",-2.24709991832193,3.24352481870767,-11.2045622021765,8.59808636468329e-16,9.92677731090568e-14,25.0379948440197,"AP001207.3"
"ENSG00000259727",-2.26063596137857,3.64336004528129,-11.0400387835468,1.51413042524099e-15,1.66148695080824e-13,23.5194335018283,"AC103740.2"
"ENSG00000213030",-3.08241314467317,3.95851512051027,-10.5275886602315,9.0130991331576e-15,8.14376612807078e-13,23.1304605912118,"CGB8"
"ENSG00000183765",-0.417931310461261,5.45885877828235,-10.4857682472563,1.04400417266125e-14,9.28770424425384e-13,23.2325119710595,"CHEK2"
"ENSG00000261089",-2.26384544161523,3.43198640107581,-10.4664893436404,1.11726635006375e-14,9.88866370548754e-13,22.3733339394229,"CDC37P2"
"ENSG00000261210",-1.87375883968904,2.92737768000119,-10.4376161190346,1.23681582718617e-14,1.08085060048467e-12,22.4269089070254,"CLEC19A"
"ENSG00000231210",-1.84279818701241,2.89691707093138,-10.410901594122,1.35890930241567e-14,1.15929021178495e-12,22.3261918187616,"LINC01510"
"ENSG00000073331",-0.537194599321033,5.6915195400251,-10.3299752672444,1.80828024355407e-14,1.49359923328471e-12,22.6215399216931,"ALPK1"
"ENSG00000084093",-0.41300971850347,5.78616218501514,-10.3058321765881,1.96945320147283e-14,1.61389545156655e-12,22.3842550479861,"REST"
"ENSG00000135048",-0.345045240847201,5.99965105253892,-10.2997235203367,2.01248304313877e-14,1.64655974839735e-12,22.018705905887,"CEMIP2"
"ENSG00000240163",-2.23624250540493,3.52043504739812,-10.2352306668569,2.52898346330348e-14,2.0136112763052e-12,21.4020314064744,"AC087385.1"
"ENSG00000270120",-1.92098120376823,2.96741205664115,-10.1971217188297,2.89513654089357e-14,2.27555104153683e-12,21.6676204021628,"AC007728.3"
"ENSG00000070190",-0.93835907413269,5.52135395390299,-10.1542713990636,3.37119717861631e-14,2.60328855930311e-12,22.0645232208951,"DAPP1"
"ENSG00000132357",-0.477036090596345,5.70049191751072,-10.144805280159,3.48659856249308e-14,2.68359617356689e-12,21.9287310953358,"CARD6"
