"","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ENSG00000248349",1.76427126758064,24.6633260906867,2.45199586809242e-31,1.27390993330874e-26,52.2751499370189,"AC112204.1"
"ENSG00000067840",5.529109796204,24.1858656715187,6.54819233958886e-31,1.701023924055e-26,60.154934089002,"PDZD4"
"ENSG00000133027",5.72690093309814,22.0544549873086,6.45132215528799e-29,1.11723997085277e-24,55.3284743559993,"PEMT"
"ENSG00000279737",2.02068134830369,21.4456594252596,2.55635407921811e-28,3.32032049579244e-24,51.7316527529615,"AC112204.3"
"ENSG00000172426",5.06912884834438,19.9855246539097,7.90950786035787e-27,6.95820760503415e-23,50.8655040978623,"RSPH9"
"ENSG00000135097",5.3050906349268,19.9789681060212,8.03580968360567e-27,6.95820760503415e-23,50.8170704822803,"MSI1"
"ENSG00000167619",4.97456938156113,19.805094993407,1.22494442647655e-26,9.09153753330896e-23,50.456129812804,"TMEM145"
"ENSG00000139438",5.40194998082066,19.2564417363915,4.71995999418227e-26,3.06526001922182e-22,48.9685352028932,"FAM222A"
"ENSG00000132563",5.4457601571633,19.1962081292528,5.48293833236918e-26,3.16511753466565e-22,48.7768516531487,"REEP2"
"ENSG00000105290",5.76382736905903,18.9710347832761,9.63033625096623e-26,4.79589219855587e-22,47.7573152276847,"APLP1"
"ENSG00000087128",3.91579832802616,-18.9321970768379,1.0618237296355e-25,4.79589219855587e-22,46.0256280123858,"TMPRSS11E"
"ENSG00000160469",5.4575110526139,18.9153846446013,1.10772426343824e-25,4.79589219855587e-22,48.146150946107,"BRSK1"
"ENSG00000108830",5.12955610347919,18.7281022980954,1.77822905187612e-25,7.10662401239784e-22,47.7925124137059,"RND2"
"ENSG00000181045",5.63392155211223,18.5831806886511,2.57092839423125e-25,9.54071527099218e-22,47.1389010323233,"SLC26A11"
"ENSG00000136274",5.49653024498572,18.2830713630297,5.55338980776586e-25,1.92347209381778e-21,46.4632732605353,"NACAD"
"ENSG00000105649",5.34896847902814,17.9548224523156,1.30307466847693e-24,4.23124633287814e-21,45.7066808391621,"RAB3A"
"ENSG00000174516",5.63133326250763,17.9216709146762,1.42117841805558e-24,4.32346390172682e-21,45.4328792343178,"PELI3"
"ENSG00000072071",5.80090404288934,17.9015996668986,1.4979087313986e-24,4.32346390172682e-21,45.1104192923126,"ADGRL1"
"ENSG00000101298",5.53000409529289,17.8611218712248,1.66569700040327e-24,4.51800633553243e-21,45.3328039996651,"SNPH"
"ENSG00000179761",5.21878805300271,17.8446706678389,1.73923329696748e-24,4.51800633553243e-21,45.4683708541284,"PIPOX"
"ENSG00000108309",5.37320706264822,17.7545276753006,2.20485937277372e-24,5.44691271414552e-21,45.0744075697884,"RUNDC3A"
"ENSG00000120645",5.41793503859817,17.7374381837134,2.30650343979677e-24,5.44691271414552e-21,45.0361540873059,"IQSEC3"
"ENSG00000160460",5.31346518137621,17.5707457028417,3.58572515890228e-24,8.09968543067865e-21,44.6684719599401,"SPTBN4"
"ENSG00000177380",5.59880231410341,17.4271520589818,5.25625749472371e-24,1.13784834117031e-20,44.1070870552731,"PPFIA3"
"ENSG00000102003",5.54729432080353,17.3925162807877,5.76613331040181e-24,1.18524884568412e-20,43.9281637511522,"SYP"
"ENSG00000105613",5.10054898584801,17.3819483983748,5.93149131689322e-24,1.18524884568412e-20,44.2914639917189,"MAST1"
"ENSG00000171533",5.57390198345755,17.2404914519584,8.67025881804332e-24,1.60744606515095e-20,43.5876849672512,"MAP6"
"ENSG00000215029",2.05022820780458,17.2221274793218,9.10970448893217e-24,1.60744606515095e-20,42.1015684960287,"TCP11X2"
"ENSG00000178467",5.93057537293592,17.2151741535495,9.28193824431776e-24,1.60744606515095e-20,43.0866307737287,"P4HTM"
"ENSG00000132639",5.53006329258552,17.0393463995186,1.49311234781821e-23,2.50235996511442e-20,43.0150545871722,"SNAP25"
"ENSG00000163704",5.42646967427029,17.00785500382,1.62638844469546e-23,2.64054328924087e-20,43.1413669856696,"PRRT3"
"ENSG00000155093",5.95655206855632,16.9605965577952,1.84942193035636e-23,2.91166263544649e-20,42.1564131585035,"PTPRN2"
"ENSG00000198003",4.89821550868174,16.9421271328452,1.94481024498493e-23,2.97178445493961e-20,43.1283704197453,"CCDC151"
"ENSG00000141837",5.46646476627597,16.7344948254998,3.43197116605692e-23,5.09441799889489e-20,42.2382387055456,"CACNA1A"
"ENSG00000160298",5.48496892083765,16.6886044583975,3.89351839865326e-23,5.61899596898976e-20,42.1944441507746,"C21orf58"
"ENSG00000280254",5.24545337198795,16.6464284983087,4.37316209273077e-23,6.14062873961444e-20,42.2825222121134,"AC233723.2"
"ENSG00000139970",5.57604874382657,16.5004846386452,6.54713890495589e-23,8.95131722810732e-20,41.4795437912965,"RTN1"
"ENSG00000125814",5.70153511095948,16.4535117993099,7.45899862396915e-23,9.93653370537675e-20,41.3484018658383,"NAPB"
"ENSG00000271614",5.11907754482832,16.3621884148261,9.61806850367159e-23,1.24924282759938e-19,41.52900059615,"ATP2B1-AS1"
"ENSG00000173258",4.99644586801423,16.2832777373362,1.19900325804925e-22,1.51934183582173e-19,41.3227365582149,"ZNF483"
"ENSG00000250244",2.58950988487439,16.2049996508742,1.49310584415854e-22,1.84697192922411e-19,39.2233209875128,"AC010307.4"
"ENSG00000007402",5.52005552732128,16.1814549237668,1.59516611881422e-22,1.92733164039241e-19,40.6412885441321,"CACNA2D2"
"ENSG00000258742",2.15482890091623,16.1414778540134,1.78494801287807e-22,2.07210005956639e-19,39.3504392596513,"LINC02833"
"ENSG00000147231",5.34176340549598,16.139531690385,1.79475117758955e-22,2.07210005956639e-19,40.7331484241312,"RADX"
"ENSG00000164061",5.22032766790678,16.1137039346505,1.93014458359311e-22,2.17997242817383e-19,40.7384603621397,"BSN"
"ENSG00000171450",5.14830688277121,16.0510269581158,2.30344790676776e-22,2.54624111804707e-19,40.5757430481063,"CDK5R2"
"ENSG00000235314",5.33912937489326,16.0368040937791,2.3978992357834e-22,2.59542618533106e-19,40.5188433101342,"LINC00957"
"ENSG00000163596",5.4308534829803,16.0109425877681,2.57982946221141e-22,2.73535632407615e-19,40.3668702944481,"ICA1L"
"ENSG00000151552",5.84038075960888,15.9929525100336,2.71458931861663e-22,2.82067546918817e-19,39.7758726300215,"QDPR"
"ENSG00000257698",5.31026590813377,15.9481320509372,3.08224859621232e-22,3.13990477583558e-19,40.2822277303001,"GIHCG"
"ENSG00000132359",5.92118389976403,15.9301089680494,3.24398194824474e-22,3.24111227190591e-19,39.4278149669475,"RAP1GAP2"
"ENSG00000181031",5.75364218027378,15.8876944665363,3.65942393467687e-22,3.58720209626796e-19,39.6187301492243,"RPH3AL"
"ENSG00000204934",5.07790983279875,15.8637782230109,3.91708103418339e-22,3.73391559049146e-19,40.1251891527919,"ATP6V0E2-AS1"
"ENSG00000135469",5.51812616193057,15.8598827099983,3.96075901404504e-22,3.73391559049146e-19,39.9344913133957,"COQ10A"
"ENSG00000108947",5.42543436629955,15.8542578717628,4.02470017837937e-22,3.73391559049146e-19,39.8281024999618,"EFNB3"
"ENSG00000261342",4.73590616834267,15.7764329773651,5.02491572653272e-22,4.58007845011019e-19,39.8575637406517,"AC006538.1"
"ENSG00000108641",5.57987582936113,15.633227089441,7.57376688688567e-22,6.61486709251848e-19,39.1669583565649,"B9D1"
"ENSG00000109771",5.28081522577339,15.6302290857108,7.63929679237612e-22,6.61486709251848e-19,39.4113438740553,"LRP2BP"
"ENSG00000171130",5.79784143260116,15.5761221254936,8.92600219825721e-22,7.60231997062713e-19,38.6270613606719,"ATP6V0E2"
"ENSG00000058404",5.31867843397852,15.570039217638,9.08378056311585e-22,7.61191508671162e-19,39.0632685924652,"CAMK2B"
"ENSG00000235194",5.62713940191808,15.5535799652203,9.52503308098368e-22,7.85497728078454e-19,38.9058350680113,"PPP1R3E"
"ENSG00000234409",4.7654590669439,15.5210585533149,1.04618905452341e-21,8.42202283364709e-19,39.1657931461677,"CCDC188"
"ENSG00000155980",5.36659423957767,15.5185854391313,1.05368496013216e-21,8.42202283364709e-19,38.94595351308,"KIF5A"
"ENSG00000198794",5.78816255944495,15.4983559488384,1.11708149665453e-21,8.75063101244411e-19,38.3691414149802,"SCAMP5"
"ENSG00000105270",5.78513282283382,15.4922569679283,1.13694384599205e-21,8.75063101244411e-19,38.4489045051123,"CLIP3"
"ENSG00000008735",5.46394527598439,15.4897153429088,1.1453264596493e-21,8.75063101244411e-19,38.7285045348376,"MAPK8IP2"
"ENSG00000267649",4.45447500118203,15.4630880259814,1.23700728081312e-21,9.3141269952703e-19,38.8016066774032,"AC010327.5"
"ENSG00000162552",5.61659038515992,15.4486839383356,1.28966979277428e-21,9.47849928455447e-19,38.3872084613875,"WNT4"
"ENSG00000176049",5.35502141639821,15.4471725966379,1.29532557493815e-21,9.47849928455447e-19,38.7686409368901,"JAKMIP2"
"ENSG00000033627",5.99405345323391,15.4411396163787,1.31815411927241e-21,9.51158043231649e-19,37.9975476555313,"ATP6V0A1"
"ENSG00000204052",5.1399835327064,15.4271715834348,1.37258741526605e-21,9.76868583188116e-19,38.8774874612251,"LRRC73"
"ENSG00000171435",5.26270223396052,15.4033083807377,1.47091217042079e-21,1.03269960678435e-18,38.7101145145657,"KSR2"
"ENSG00000049769",5.47456256878483,15.3961658734754,1.50170896201958e-21,1.03280429090137e-18,38.5610259690766,"PPP1R3F"
"ENSG00000204815",5.2046257970986,15.3940813342365,1.51081968873435e-21,1.03280429090137e-18,38.7534452298357,"TTC25"
"ENSG00000137166",6.01164841835972,15.3789443659816,1.57868129305746e-21,1.06517932337023e-18,37.7284665987599,"FOXP4"
"ENSG00000128266",5.48009513425079,15.3679426889776,1.62993672864529e-21,1.08566324102612e-18,38.396910059655,"GNAZ"
"ENSG00000176401",5.19301908083772,15.340412432716,1.76571998032843e-21,1.16121792225295e-18,38.6105430937832,"EID2B"
"ENSG00000221990",5.28530436797217,15.2988884380522,1.99256024700245e-21,1.29401843840957e-18,38.4634661346532,"EXOC3-AS1"
