"","variable","R"
"1","LINC02082",0.178526737782408
"2","AC090241.2",0.12439167171246
"3","RAB4B",-0.10534262404564
"4","TIGAR",0.312878770536591
"5","RNF44",-0.0363868537946973
"6","NUP210P2",0.155455907378961
"7","DNAH3",-0.192404733207197
"8","RPL23A",-0.0141799148229725
"9","EHD4-AS1",0.0688897567551982
"10","RPL7L1P12",0.0613099627712992
"11","AC244102.2",-0.0473948671574808
"12","Y_RNA",NA
"13","ARL8B",0.111459684233889
"14","AC007114.2",-0.0986791358047764
"15","CALB2",-0.104016896064718
"16","MFSD3",-0.49980641584663
"17","AC092839.2",-0.169450060016769
"18","LINC00636",0.223496403407262
"19","PIGV",0.0123883905244289
"20","AC055876.5",-0.049747330719685
"21","PIGFP2",0.07338571525144
"22","CHIAP1",0.286359028572005
"23","AL031728.1",0.407236364758328
"24","AC128716.1",NA
"25","ZNF708",0.421110725159272
"26","LINC01224",-0.0596520711882288
"27","AC127002.2",0.0267174000544202
"28","MYADML2",-0.0141899578808645
"29","DNM3-IT1",0.0562316467954365
"30","PHEX",0.226174966234743
"31","KRT8P47",0.051010565803279
"32","MOGAT2",-0.0920664795186485
"33","AC006557.5",0.199639842112735
"34","PFN2",0.175556442470671
"35","AC007861.1",0.121961709653372
"36","CASC23",-0.043671184038376
"37","DNM1P41",0.0664393390372217
"38","AC005324.5",-0.0270880156639498
"39","RMND5A",-0.103584939650513
"40","AC092301.1",0.0298239624814844
"41","AL590730.2",NA
"42","AC245008.1",0.183199308457533
"43","RAD23A",-0.399481055128189
"44","TTC41P",0.273962881607117
"45","U1",0.0595206581746622
"46","OR2D2",-0.162734600328085
"47","SERPINB11",-0.0320595119829081
"48","AL135937.1",0.119979151069655
"49","LINC02292",0.0299444765434683
"50","SIN3B",0.18824043450436
"51","LINC00705",-0.15835161767768
"52","RPL7P17",0.116443489487351
"53","TLL2",-0.0848077744192227
"54","AC025588.4",-0.00087638240225694
"55","AL606490.3",0.0325559439638284
"56","CTSA",-0.172715881166203
"57","AL671277.1",0.0821443749620545
"58","IL32",0.0335343489949051
"59","AC116351.1",0.402029000797228
"60","AC103810.5",-0.0823503634410113
"61","ASS1P7",0.0207672557615556
"62","THAP12P4",0.025728599953984
"63","PTPN4",0.38112987456344
"64","NUCB2",0.13556563896207
"65","AC087741.2",-0.105485945989524
"66","SERPINB12",0.0130630501198891
"67","AC023830.2",-0.0554075075554798
"68","AC021613.1",0.067026408766054
"69","GGT3P",0.0495328612012882
"70","TMEM143",-0.148162045363386
"71","DACH1",0.197852957657323
"72","AC145350.3",0.0675553323149469
"73","Metazoa_SRP",-0.156914091265397
"74","COLCA1",0.098134724617833
"75","AC008403.1",0.0716385162641631
"76","RN7SL560P",0.0455670821153315
"77","BMP2KL",0.111371802360443
"78","RNU6-820P",0.0724979513376506
"79","AC093367.1",0.0752712638872555
"80","FGF23",-0.291900272565958
"81","AC114689.1",-0.0196892245705545
"82","SERTAD2",0.305593238389181
"83","ST3GAL6",0.168607318774876
"84","AP001029.1",-0.00152635249317196
"85","PKP2",-0.0782288990784598
"86","AL357315.1",0.144495347639957
