"","variable","R"
"1","LINC02082",0.212557223685216
"2","AC090241.2",0.047478109324684
"3","RAB4B",-0.0112318620605913
"4","TIGAR",0.293269541797755
"5","RNF44",-0.0156011907664838
"6","NUP210P2",0.112535217024402
"7","DNAH3",-0.119292626583633
"8","RPL23A",0.0121156807145395
"9","EHD4-AS1",0.0419918906024713
"10","RPL7L1P12",0.0824299196071352
"11","AC244102.2",-0.0502244114653901
"12","Y_RNA",NA
"13","ARL8B",0.129157953720946
"14","AC007114.2",-0.0995888410861881
"15","CALB2",0.0367630738973914
"16","MFSD3",-0.380596398438985
"17","AC092839.2",-0.115786210110489
"18","LINC00636",0.157056810526234
"19","PIGV",-0.0693090986542667
"20","AC055876.5",-0.097693325918805
"21","PIGFP2",0.145596975902679
"22","CHIAP1",0.279186561377947
"23","AL031728.1",0.491370326983043
"24","AC128716.1",NA
"25","ZNF708",0.194116634203583
"26","LINC01224",-0.0566701645685949
"27","AC127002.2",-0.0633561706361865
"28","MYADML2",-0.036333820849417
"29","DNM3-IT1",0.107845000359704
"30","PHEX",0.210952981444785
"31","KRT8P47",-0.0251742646706649
"32","MOGAT2",-0.137907627965924
"33","AC006557.5",0.156278392356913
"34","PFN2",0.120692006119051
"35","AC007861.1",0.0622483552734303
"36","CASC23",-0.0795963266093802
"37","DNM1P41",0.0100869359223979
"38","AC005324.5",0.0133641517779987
"39","RMND5A",-0.179448031363619
"40","AC092301.1",0.102466436223304
"41","AL590730.2",NA
"42","AC245008.1",0.121635837829317
"43","RAD23A",-0.238098555732828
"44","TTC41P",0.178104388139711
"45","U1",0.0511145996972218
"46","OR2D2",-0.127173254241531
"47","SERPINB11",0.0305784180703194
"48","AL135937.1",0.0737021850901609
"49","LINC02292",0.0113982781593889
"50","SIN3B",0.228585561707562
"51","LINC00705",-0.0556388338421334
"52","RPL7P17",0.0343632600921089
"53","TLL2",-0.0687358108787327
"54","AC025588.4",-0.00386931098354951
"55","AL606490.3",0.101431824704584
"56","CTSA",-0.00340887262361767
"57","AL671277.1",0.0910363072304925
"58","IL32",0.218698338162155
"59","AC116351.1",0.308449724354081
"60","AC103810.5",-0.0942284966665218
"61","ASS1P7",-0.00119057383179007
"62","THAP12P4",-0.00414437678098192
"63","PTPN4",0.20164302684002
"64","NUCB2",-0.0558428076768807
"65","AC087741.2",-0.0499467021521183
"66","SERPINB12",0.00230583969370645
"67","AC023830.2",-0.102802819972718
"68","AC021613.1",-0.00424375129429088
"69","GGT3P",-0.021372595041601
"70","TMEM143",-0.110064285863579
"71","DACH1",-0.0127486859666916
"72","AC145350.3",0.177519483214619
"73","Metazoa_SRP",-0.0638520265007144
"74","COLCA1",0.0425735843723345
"75","AC008403.1",0.0646722603200966
"76","RN7SL560P",0.0606450488015278
"77","BMP2KL",0.103358463931375
"78","RNU6-820P",-0.0310469709197962
"79","AC093367.1",0.104038813551698
"80","FGF23",-0.182708478893414
"81","AC114689.1",0.0145271884519203
"82","SERTAD2",0.361634109030178
"83","ST3GAL6",0.231784427871739
"84","AP001029.1",0.14479584700923
"85","PKP2",-0.0994982736672801
"86","AL357315.1",0.0970197657572851
"87","RNU6-453P",-0.0228911757761722
"88","TRIM51HP",NA
"89","AC005046.1",0.37154920073134
"90","RPL35AP28",0.021656802441178
"91","AP005242.3",0.0665179735264052
"92","KRT1",0.375527635401527
"93","AC016583.1",0.159956301876704
"94","AC026185.1",0.029967868685981
"95","PDLIM1P3",-0.0136528252225814
"96","RNU6-1273P",0.0983266646998483
"97","RNA5SP218",-0.0913442997754828
"98","AL080312.2",-0.0985746705434466
"99","RAET1K",0.132276522543654
"100","AC021506.1",NA
"101","AC026464.3",NA
