"","variable","R"
"1","LINC02082",0.18206818787038
"2","AC090241.2",0.126683296444536
"3","RAB4B",-0.0916394537443355
"4","TIGAR",0.354103735228633
"5","RNF44",-0.00565026857935109
"6","NUP210P2",0.150500764110854
"7","DNAH3",-0.172797495050914
"8","RPL23A",-0.0378200732335322
"9","EHD4-AS1",0.02993916972046
"10","RPL7L1P12",0.0637306386143021
"11","AC244102.2",-0.0771050823905285
"12","Y_RNA",NA
"13","ARL8B",0.090546623922224
"14","AC007114.2",-0.0611542905971343
"15","CALB2",-0.141051684480722
"16","MFSD3",-0.414955843902497
"17","AC092839.2",-0.220849922036614
"18","LINC00636",0.230610178950678
"19","PIGV",0.026549394813139
"20","AC055876.5",-0.0938217988298293
"21","PIGFP2",0.124794649901866
"22","CHIAP1",0.313566127687928
"23","AL031728.1",0.404477417338571
"24","AC128716.1",NA
"25","ZNF708",0.422936089361232
"26","LINC01224",-0.0048228232606032
"27","AC127002.2",-0.0344276229502747
"28","MYADML2",0.0265306104220726
"29","DNM3-IT1",0.0503531549103626
"30","PHEX",0.221375671697201
"31","KRT8P47",-0.0146979596382329
"32","MOGAT2",-0.053304841447539
"33","AC006557.5",0.241224560264239
"34","PFN2",0.160519581858229
"35","AC007861.1",0.0879793627322924
"36","CASC23",-0.059336529759509
"37","DNM1P41",0.0787619198699797
"38","AC005324.5",0.0185436075595404
"39","RMND5A",-0.117769830929871
"40","AC092301.1",0.0192240892818245
"41","AL590730.2",NA
"42","AC245008.1",0.231986733812506
"43","RAD23A",-0.3950380748678
"44","TTC41P",0.262654382118199
"45","U1",0.100717069560902
"46","OR2D2",-0.157260508285485
"47","SERPINB11",-0.0647755145865541
"48","AL135937.1",0.104098180209017
"49","LINC02292",0.0974382808304321
"50","SIN3B",0.188232472174144
"51","LINC00705",-0.161092220939939
"52","RPL7P17",0.108700129223162
"53","TLL2",-0.0682162688321551
"54","AC025588.4",-0.0368245964118152
"55","AL606490.3",0.039939825730412
"56","CTSA",-0.122977194890971
"57","AL671277.1",0.10618663104851
"58","IL32",0.0276541681305743
"59","AC116351.1",0.408920397598959
"60","AC103810.5",-0.11483268271714
"61","ASS1P7",0.0208227172754589
"62","THAP12P4",-0.00109723018813264
"63","PTPN4",0.366069126960351
"64","NUCB2",0.112783421632258
"65","AC087741.2",-0.06316815147537
"66","SERPINB12",0.0328917528207633
"67","AC023830.2",-0.109743451055297
"68","AC021613.1",0.126300806420893
"69","GGT3P",0.0505279015886068
"70","TMEM143",-0.171449870661899
"71","DACH1",0.188031423336196
"72","AC145350.3",0.122305415885248
"73","Metazoa_SRP",-0.0780752451325554
"74","COLCA1",0.0866789220199237
"75","AC008403.1",0.0573481142370802
"76","RN7SL560P",0.0682471198713464
"77","BMP2KL",0.112748398689932
"78","RNU6-820P",0.0054917525562263
"79","AC093367.1",0.0962994328870057
"80","FGF23",-0.276605185291256
"81","AC114689.1",0.00558324392692556
"82","SERTAD2",0.276196315232634
"83","ST3GAL6",0.142735717321353
"84","AP001029.1",0.0465702224715272
"85","PKP2",-0.0752947803939562
"86","AL357315.1",0.119072892977518
"87","RNU6-453P",0.0121137860510441
"88","TRIM51HP",NA
"89","AC005046.1",0.309397241649755
"90","RPL35AP28",0.1216939517684
"91","AP005242.3",0.127464652283567
"92","KRT1",0.480763101147244
"93","AC016583.1",0.21990665914805
"94","AC026185.1",0.00297639306426885
"95","PDLIM1P3",0.0336993836943329
"96","RNU6-1273P",0.113889158393349
"97","RNA5SP218",-0.0813799593820108
"98","AL080312.2",-0.0362751057511889
"99","RAET1K",0.0514600570731187
"100","AC021506.1",NA
"101","AC026464.3",NA
"102","AC022150.3",0.318621216419409
"103","Y_RNA",0.0613775494347817
"104","DDX11L10",-0.00217547451415863
"105","SLC45A4",-0.259903397028657
"106","AC022743.1",0.128036879932896
"107","RNA5SP128",-0.0370819678501626
"108","MTRF1",0.0455236277172696
"109","AL135924.2",0.107979118812024
"110","AC112673.1",-0.00255110018597598
"111","AL157858.2",-0.0090569264199168
"112","MTND5P14",0.105482137352753
"113","IGSF11-AS1",-0.0424624505912955
"114","U8",NA
"115","AC018648.1",-0.189966647723295
"116","AC009133.2",-0.135548210335639
"117","RARRES2P7",-0.00361696430366202
"118","MTND2P28",-0.16468587114362
"119","FMO7P",0.113716186745335
"120","ESM1",-0.299553810920535
"121","KF459542.1",NA
"122","AC006458.1",0.0799284161046653
"123","AP003730.1",0.128036879932896
"124","RWDD2A",0.386120265026161
"125","LINC00592",-0.184521451223109
"126","ENTPD1-AS1",0.423706444809606
"127","LINC01181",0.0288455093042748
"128","ACOXL-AS1",0.159577633997838
"129","AC104463.1",0.0761032399778984
"130","PPIAP6",0.0527789096103484
"131","AC092447.4",NA
"132","SCFD2",0.182346319562151
"133","GFOD1-AS1",0.149287019234041
"134","YWHAB",0.153514721850923
"135","AL669914.2",NA
"136","TMEM155",0.542034162733497
"137","AC013652.1",0.104819309485651
"138","TOMM40",-0.260213927907072
"139","AL109806.1",0.325544016288278
"140","PRSS48",-0.0461449476619183
"141","AL591806.2",-0.00814496849406425
"142","ADTRP",0.0391517729621162
"143","NDUFAF2",-0.0714370314044257
"144","SEPSECS",0.115434877594102
"145","AC138894.3",0.136829890731714
"146","Z98885.3",-0.0245410191438316
"147","DCDC2C",0.28817242399843
"148","CWC27",0.0871029161039124
"149","RNA5SP37",-0.0884167934642588
"150","AC084125.1",NA
"151","AL512306.3",0.456242452267568
"152","AC105391.1",NA
"153","FO082796.1",0.0537704328750989
"154","SMARCE1P1",0.00418606983217123
"155","PHBP19",-0.0712753376090646
"156","LINC02453",0.274938267058546
"157","AL117327.1",-0.0245708780307325
"158","LINC02061",0.0270903244784482
"159","AL133445.2",0.242524407804719
"160","LHX5",-0.0214660638766092
"161","MYOM2",0.101427148162045
"162","AL158151.2",-0.0894540031602701
"163","AC093227.2",0.00249757950076166
"164","MTND6P7",NA
"165","EVX1",-0.0421921090717127
"166","GLYATL1P1",0.538471077521994
"167","MAP9",0.231115592133616
"168","RNU7-147P",NA
"169","RNU1-47P",0.218551125315007
"170","APIP",-0.0180655319682582
"171","AC097063.1",0.0249819836421581
"172","MAF1",-0.0661998087050166
"173","Z82195.1",-0.034661917771889
"174","FOXP1",0.198685021164869
"175","OR5L2",0.0284248755186744
"176","PLCE1",0.0892985286609052
"177","PRAMEF4",NA
"178","RAD17",0.257480858060516
"179","AC026877.1",0.188889364416943
"180","AC005086.4",-0.0338730561352831
"181","AC108043.1",0.0141690797940346
"182","CICP17",0.0766377389648701
"183","SPCS2",-0.00207518231247966
"184","PPIAP45",0.132429962808063
"185","DGCR11",-0.0552894257268861
"186","SETDB2",0.575382863671968
"187","AC131212.2",0.129824449652557
"188","DESI2",0.135107804974665
"189","PAX3",0.081713798762665
"190","COX17",-0.375677668948206
"191","PSORS1C3",-0.0807829773005067
"192","NLGN2",0.300483412973224
"193","AC090686.1",0.151308867998827
"194","SERPINE3",0.171664571566179
"195","HAO1",0.136034963108511
"196","AC087045.2",0.429701264692699
"197","LINC02201",0.0671899067641401
"198","AC079062.1",0.198789946940624
"199","AC127496.4",0.0637697333934051
"200","PKMYT1",-0.272026044782136
"201","HSPA8P15",0.203997017237524
"202","OR4A7P",0.128036879932896
"203","XIAPP2",-0.151869982586831
"204","AC107075.1",0.131433254987299
"205","AL355810.1",-0.138896050397344
"206","EIF3LP3",-0.00278348752000205
"207","AP001626.1",-0.0516281444222166
"208","FAM89B",-0.0119225942068076
"209","AL356215.1",0.104783478928356
"210","IGLJ6",0.280147556322176
"211","AL592464.1",-0.0681259847299616
"212","TMEM251P1",-0.060257853444219
"213","Z97832.2",0.0624634852512762
"214","MED8",0.00699988355092059
"215","PHF1",-0.0519412658711635
"216","ZNF781",0.527871639274592
"217","IGHV1-24",0.639526597309074
"218","RNU6-1329P",0.205977153770934
"219","AC103563.2",0.344121946138764
"220","DIPK1A",0.426879433400582
"221","AC008489.1",-0.0586693403230542
"222","ANKMY1",-0.0526459320952573
"223","PSMB6",0.0215371079423249
"224","AC027176.2",0.123603134910725
"225","GUCY1A1",0.533606507612485
"226","AC009237.15",-0.104194057912018
"227","PRKG2",-0.108097590300289
"228","MESTP3",-0.0431606365973331
"229","FBXO45",0.0247996727482281
"230","AC107421.1",0.137497184365598
"231","AC098657.3",NA
"232","AC002383.1",-0.0301734268182224
"233","AMZ2",0.204702552225422
"234","AC021106.2",0.0994000014300604
"235","AC066612.1",0.237553699045572
"236","AC116612.1",NA
"237","TMEM52",-0.0238939576861867
"238","RPS2P24",0.0785137584369449
"239","RNA5SP177",NA
"240","CHN2",0.167048692635143
"241","RN7SL430P",0.0414420309527829
"242","LNCPRESS1",-0.0718218253148962
"243","ZNF460-AS1",-0.0807808259126075
"244","AC021035.1",-0.0719300822153757
"245","AL512504.1",-0.111717471370848
"246","OR2AS2P",0.126622107778941
"247","AC005828.7",-0.0751025363440476
"248","GCNT4",0.459885282727417
"249","AC012506.3",0.0657124487620795
"250","KLK8",-0.121236765636104
"251","AC024060.1",NA
"252","RN7SL541P",-0.307495639057728
"253","MIR8081",-0.00284962076708703
"254","AL122016.1",0.0281372790517452
"255","AC097527.1",0.0505511697929082
"256","IP6K3",0.211298222818698
"257","AL136146.1",-0.023570722677835
"258","MTF2",0.355714116514769
"259","ITFG2-AS1",0.200641891157941
"260","NOBOX",-0.0918594856566733
"261","RBM15B",0.195456296262383
"262","PIH1D2",-0.133539225922162
"263","AL390778.1",0.0632589083904607
"264","KRT18P61",-0.0885168765113069
"265","LINC02126",0.372916064889753
"266","AL136981.1",-0.00791902447651664
"267","PCGF7P",0.125113968346158
"268","AL031009.1",-0.1569754277391
"269","AC008638.2",-0.000854335046225319
"270","VN1R53P",0.0167048366600997
"271","OR52E1",NA
"272","AC009690.1",0.166978693595844
"273","MT1A",0.338047696348575
"274","AC006064.1",0.423490361196656
"275","AC004817.1",0.0274299197316006
"276","AC104009.1",0.0869730949843108
"277","RNU6-391P",-0.0154204299321334
"278","AL356234.2",0.172523473220221
"279","ATP2A1",-0.0659828352066374
"280","AC093424.1",0.262803610197274
"281","IGKV1OR22-5",0.581313515305321
"282","RNU6-448P",0.103985753315667
"283","DPY19L1P2",-0.190583350170344
"284","OR6C72P",0.0855937153142564
"285","AC027281.2",-0.127235719208608
"286","RNU1-129P",-0.0438999804432529
"287","NCAPG",-0.0954155888491546
"288","IGHV5-78",0.653303653329599
"289","FANK1",-0.296655522722002
"290","NOP2",0.0970896687770159
"291","ZNF880",0.213202339730734
"292","MELTF",-0.237899497477434
"293","ZNF736P9Y",-0.0487146297027081
"294","PTPRB",0.444689175510659
"295","AC025159.1",0.00756719957879273
"296","AC116914.1",0.354573843126287
"297","AC108145.1",NA
"298","DGKD",0.203826695901689
"299","TMCO1",-0.271466691084479
"300","AC012499.1",-0.0751796288868136
"301","AC117500.5",0.111978419916466
"302","RAB5C",0.210821602996225
"303","NPBWR2",0.136006731165538
"304","UPP1",-0.0304170967154393
"305","AP001610.2",0.182207185708053
"306","AC064859.1",-0.0427553351843213
"307","AC008760.1",-0.210411961832911
"308","AC093323.2",-0.246287747307293
"309","RNA5SP36",-0.10780558312283
"310","RPS17P17",NA
"311","TRABD2B",0.455629417227099
"312","RPL36P2",0.093864491949933
"313","AC073534.1",0.156814190471992
"314","RPS3AP17",0.0486444791043525
"315","AC020914.3",0.0657469235081845
"316","AC244157.1",0.270300641565598
"317","AMN",-0.25339817324239
"318","KCNE1B",0.302322082792777
"319","KLK10",-0.194927893599353
"320","AL133338.1",0.0489593732053654
"321","MRPL57P7",0.0322893367369981
"322","AF096876.1",NA
"323","KDM5B",-0.199073184762887
"324","KRTAP19-3",-0.0530539557732994
"325","STPG1",-0.0658335415150921
"326","AC004951.3",-0.197819117753906
"327","FHOD1",0.221487144320221
"328","PTPRH",-0.233042476045827
"329","PCMTD1",0.203199662397199
"330","AL121957.1",0.105698371601755
"331","OR14A16",-0.102297873789578
"332","NDUFS5P6",NA
"333","U3",0.0538203758020804
"334","AC002128.1",-0.00301473727793807
"335","AC112907.2",-0.136845269259184
"336","GLRA3",0.37302176198175
"337","AACSP1",-0.0644909212999962
"338","RPS28P7",0.0441640598329304
"339","COX7A2P2",0.0767163202393829
"340","MINDY4",-0.1657627763053
"341","MAP2K7",-0.0852596366589664
"342","AC013733.2",0.254490407703161
"343","AP000281.2",0.0726267897057429
"344","SMIM32",0.0365988690499637
"345","AL109955.1",0.409095026251155
"346","ZNF767P",0.150284006365883
"347","AC010376.1",NA
"348","MT-TL1",-0.0515462276629382
"349","AP5S1",0.106982864070084
"350","GRIP1",0.178400984940248
"351","RPS29P12",-0.047876645726477
"352","VRK3",-0.0452409649946105
"353","Z80107.2",-0.134351075817691
"354","SRSF10P1",-0.0169431028848663
"355","LINC01880",0.0934774385360176
"356","SNORD99",-0.153831224476999
"357","FP236315.1",-0.0950412988769341
"358","AC027369.4",NA
"359","NDUFAF4P4",0.0912136816586488
"360","AC123904.2",NA
"361","VENTXP3",0.0843969118652508
"362","ARMH2",0.190701195629081
"363","SLC2A1",-0.293631827822571
"364","LEMD1-AS1",-0.253323957564627
"365","AL360270.2",0.0522139756810529
"366","WNT1",0.518956344380066
"367","MIR4635",0.0890470650198912
"368","AC104825.1",0.427922498658845
"369","AC024681.2",0.125059533400513
"370","AC012414.4",NA
"371","AC134050.1",0.151094512091994
"372","MUSK",0.640811534927782
"373","CDY1",NA
"374","AL591684.3",0.0483140664274388
"375","LINC02317",-0.00513647959985802
"376","ST6GALNAC4P1",-0.173456723156538
"377","POLR2LP1",-0.0892639105410002
"378","AC093802.1",-0.0767077962220541
"379","RNA5SP465",0.0620720162830296
"380","DUX4L5",NA
"381","AC093249.6",-0.0442994194465981
"382","WASH4P",-0.0995161889102655
"383","RNU6-175P",0.0253269002413248
"384","RNU6-428P",0.0205141962323424
"385","SPINK1",0.0239397410849272
"386","AL031710.1",-0.0557097926421466
"387","PHKBP2",-0.136390456250616
"388","AC107015.1",0.11105961408544
"389","VSTM2B",0.258049561242642
"390","HCG27",0.101841189333264
"391","AL132655.4",NA
"392","RN7SL521P",-0.112215367245475
"393","AC139768.1",0.241540272968586
"394","AC091819.2",NA
"395","AC079298.1",0.164644004535188
"396","SPATA31D1",0.0432259540855132
"397","MTND4P8",0.0312858821009585
"398","GLYCTK",-0.0237486451597492
"399","MASP2",0.303761902439558
"400","FOXD2-AS1",-0.238651937682823
"401","DNAJA1P6",0.0104993900632055
"402","RPRM",0.164792615181551
"403","TNNT1",-0.24913633599441
"404","AC008555.7",0.0644799453784147
"405","AC009220.1",-0.0292744931440133
"406","MTND1P11",0.230525824324995
"407","AC138869.1",NA
"408","MT-ND1",-0.146979639326347
"409","PPOX",-0.115544359634569
"410","OR2U2P",-0.109606636127783
"411","MTATP6P26",0.0837121946068962
"412","DEFA1",NA
"413","AL136369.2",0.230929327845505
"414","LINC02301",0.0756233670332777
"415","H6PD",0.383634027416293
"416","RCOR1",-0.241996116373437
"417","GRAMD1C",0.0482507258161637
"418","LINC01429",-0.0756577358259652
"419","RPS6KB1",0.342249816119937
"420","AC068620.1",0.211249998756302
"421","ADIRF-AS1",0.0824748116660081
"422","GLI3",0.345647740539508
"423","MIR378D1",NA
"424","MTATP6P19",-0.0564878013321183
"425","OFD1P4Y",NA
"426","AC006001.2",-0.179346511653368
"427","KCNE4",0.432725774361496
"428","AL589987.1",0.184195573882277
"429","EIF1P5",-0.0583475232381655
"430","HOXC13",0.0448510674298252
"431","DAP3P1",0.094838577624513
"432","TOLLIP-AS1",-0.203747072599532
"433","AC009065.8",-0.211802960195316
"434","FAM217B",0.345084405676743
"435","AC106786.2",0.182298203882034
"436","AC011396.1",0.128036879932896
"437","AC139143.1",0.0938015769650866
"438","AC067817.2",0.322572554314401
"439","FCGR2B",0.611038178378093
"440","LAMTOR4",-0.097246924798777
"441","PHYKPL",0.157868125896384
"442","U3",-0.0549199638747683
"443","VN1R7P",-0.0433425121093025
"444","AC034234.1",0.0616035596688326
"445","KIAA1328",0.377465212081642
"446","KRT8P10",-0.0457741130612663
"447","AC133473.1",0.0609851589712213
"448","RNU7-90P",0.0530539557732994
"449","NME1-NME2",-0.0401032714228983
"450","AC007274.2",NA
"451","PHLDA2",-0.376266881384171
"452","CBL",0.432504819698009
"453","ASS1P2",0.0960972747802736
"454","AC022690.1",-0.126927877418426
"455","RLN1",0.282465755943886
"456","AC093801.2",0.00670000448695598
"457","IGHV1-12",0.589494349239461
"458","RN7SL193P",0.0753688627316011
"459","AC245128.2",-0.0145898378539253
"460","KRT8P50",0.0536904530485548
"461","CLN6",-0.0785593357824134
"462","EFS",0.304100301473728
"463","PPIAP27",-0.0671111056362356
"464","AC103592.1",0.147508280101362
"465","ERRFI1",-0.129896459848457
"466","AL049874.2",-0.0632846713618692
"467","EVPL",-0.23651206143734
"468","AC015878.2",-0.0487583662922451
"469","GRAMD4P8",0.0512467467193879
"470","AC120024.4",-0.0836465417338365
"471","SMIM2",-0.0977622610832427
"472","AC073257.1",-0.033739616985572
"473","SPON1-AS1",0.174744483785885
"474","IL27RA",0.607932869593951
"475","CHMP1B2P",0.0793476064737726
"476","AC068787.1",-0.103387671418613
"477","SRGAP2-AS1",0.119979137283169
"478","WDR70",0.226376015072691
"479","AC073612.1",0.0799346266984378
"480","OR10H1",0.0447314030990678
"481","BRDT",0.175557211530482
"482","OTUD1",0.446335387282765
"483","AL162724.2",0.0123157403900862
"484","TTC5",0.210813640666009
"485","PDCD6",-0.303224445149995
"486","AC137675.1",-0.0984359328421805
"487","MIR6131",-0.0115638382385853
"488","AC008267.7",-0.170025539885192
"489","AC068308.1",0.173254656979226
"490","LINC02747",0.0516938292375876
"491","MRPS11",0.109339713813946
"492","RPL7P22",-0.00164660532685551
"493","RNA5SP442",-0.0484050572432268
"494","EPB41L2",0.576163172033111
"495","AL772337.3",-0.26103832137868
"496","EPHA3",0.497736209990535
"497","CENPBD1P1",0.176428317629296
"498","C2orf27A",0.118321222297311
"499","RNU6ATAC25P",-0.0148141159222341
"500","WWC2-AS2",0.0183621287687948
"501","HMGB1P46",-0.0913973144290854
"502","AC109329.1",-0.000442852741432539
"503","DIO1",0.217418480264973
"504","C1orf35",-0.336757798853624
"505","LDHA",-0.261477947828822
"506","LINC02826",-0.0786337496370813
"507","RN7SL446P",0.057311147532406
"508","Metazoa_SRP",0.0702411475764694
"509","XCL1",0.539765370034367
"510","MIR4740",-0.170752250826184
"511","AL033527.3",-0.147927297975338
"512","UBE3A",0.187764685273969
"513","DNMT3A",0.303345870685786
"514","PPIAP16",0.1393182748981
"515","AL662844.3",0.0966865428360825
"516","AC087857.1",-0.0887833971515557
"517","PDE5A",0.41766701734096
"518","AC061997.1",NA
"519","RN7SL648P",0.0621150233258771
"520","LINC01730",0.00183632154440399
"521","RNU6-1045P",0.0605338985323564
"522","AC110774.1",0.0322682749455422
"523","ZNF304",0.360879678242236
"524","AL359258.3",0.0119096613469995
"525","AC104316.2",0.0799165243875527
"526","ATP6AP2",0.173315046514938
"527","RN7SL714P",0.0550822591224278
"528","AP001207.1",-0.0655052294132742
"529","ATP23",0.0825305479775184
"530","PLIN4",0.346838108906762
"531","AC008079.1",0.0104674783598794
"532","MTND4P24",-0.0342516356413708
"533","AC244100.3",-0.0369546056400462
"534","Y_RNA",0.0403210063877076
"535","AL035411.1",0.00101320702417228
"536","AL157944.1",-0.00728665116845079
"537","DSCR4-IT1",0.0704737113797097
"538","HMGN2P10",0.0855913074603496
"539","ARL17B",0.130071631113203
"540","RLIMP1",0.134573760875269
"541","COPS5P1",0.0740439189345814
"542","Y_RNA",-0.0648064444580627
"543","MIR129-2",-0.0701262015254037
"544","PLP2",-0.318567855475744
"545","AC011506.1",0.101234923495543
"546","TREH",0.194114643621029
"547","AL049861.1",-0.0186024566516803
"548","NOP16",-0.0433160716649531
"549","GNA12",0.377934989564371
"550","HEY2",0.163547257922767
"551","ACOX2",0.422820635573104
"552","AP000542.3",0.0275097656355381
"553","INTS13",0.13425583564158
"554","PROSER2",-0.0670199287172387
"555","PPP1R7",-0.180923053036086
"556","AC119150.1",0.0253068350403427
"557","AC099791.2",-0.151765528189355
"558","Metazoa_SRP",0.00889479842189005
"559","AP001468.1",-0.0940229703519068
"560","AC008662.2",NA
"561","MIR6720",NA
"562","AC020703.1",0.195197051246409
"563","OR51E2",0.225948039823595
"564","AP002992.1",-0.00380722243658619
"565","MTND4P31",-0.0392091330397406
"566","CYP2E1",0.00659380470991738
"567","PES1",-0.0114627696368481
"568","ADAM20P2",-0.132501357922432
"569","USP3-AS1",-0.0251619587730447
"570","IGLC7",0.521697457062981
"571","AC078899.3",0.0654436590152048
"572","MIR516A2",NA
"573","AP002990.1",0.0758541340916126
"574","HSDL2",0.15005508937218
"575","RNU6-919P",-0.0937763248127546
"576","LINC01548",0.0859609082739205
"577","RPS13P2",0.151617696677021
"578","RPL31P9",0.00919601900070524
"579","LINC00395",0.0780635730672102
"580","STARD5",0.477969725229937
"581","IGHV3-74",0.685704929976282
"582","AL162425.1",0.0287698305360056
"583","PTCD3",0.14878111653766
"584","ABHD17AP4",0.137910728086633
"585","TRAV5",0.747206849879418
"586","TSPEAR",0.244322332658894
"587","AC011487.1",0.106621890641871
"588","LINC01874",-0.000438933690623402
"589","CYP2D6",0.0282095406631228
"590","FLYWCH2",-0.0191742864508013
"591","NTM",0.14229977974204
"592","SERF1AP1",-0.0785198545444832
"593","AC006011.2",0.154765538503837
"594","AC091489.2",-0.0274786542825411
"595","IFNA1",-0.0714682227842548
"596","DLGAP1-AS4",-0.13232337465699
"597","AC011893.1",0.27963186129083
"598","ZDHHC20P3",-0.0221589443777977
"599","AC008736.2",0.0589607969674252
"600","AC010387.1",-0.0125018062248173
"601","RN7SL177P",0.0164116679628746
"602","LINC01771",0.437928548384644
"603","AC093890.1",0.66947704306468
"604","RNY1P5",-0.00284962076708703
"605","SNORA72",0.128036879932896
"606","AC091027.2",0.0403210063877076
"607","AC103808.1",-0.0212442950433567
"608","ZNF551",0.411639533367638
"609","RNU1-59P",0.0950395812117478
"610","RPL41",-0.00480228041137379
"611","ELOCP13",NA
"612","RN7SKP132",0.0522467219559342
"613","SERPINB3",-0.124383840578345
"614","RNU4-73P",0.0851923264890313
"615","AC108706.1",-0.0855937153142564
"616","ASB2",0.737834305898793
"617","RNU7-105P",0.128036879932896
"618","RPS6P16",-0.0393202900361728
"619","AP005328.1",-0.0808229540443312
"620","CD1C",0.733299758840924
"621","WFDC6",-0.0960322742709585
"622","AL035410.2",0.0501872416285334
"623","DDX55P1",0.128174242653685
"624","MZT2A",-0.29082510642152
"625","MIR548C",0.151130524230068
"626","FOXO1B",0.0260619925504579
"627","EXOSC7",-0.230343246102688
"628","RNA5SP237",0.0133656986313337
"629","AP003031.1",0.166463609346953
"630","TPI1P4",0.0364820967617998
"631","OGDHL",0.227194144502359
"632","AL117382.2",-0.125299625889336
"633","IL12A",0.440461178166096
"634","LINC01299",-0.0155138778871946
"635","FGFBP1",-0.109866298839424
"636","BRD9P2",-0.012988051210506
"637","RN7SL150P",-0.105419432865196
"638","RN7SKP7",NA
"639","FAM86C1",0.0742756021263403
"640","HNRNPA1P40",-0.0501973294099088
"641","MATN3",0.356327215941381
"642","AL021578.1",-0.243313007816554
"643","AP001610.3",-0.153251925035112
"644","PIGA",-0.0181849669214944
"645","AP002512.1",-0.0728607659286646
"646","AP006565.1",0.133396566003263
"647","AC107074.1",-0.0628894194849349
"648","MNT",-0.0602619009466215
"649","AC009145.3",0.0456496748412621
"650","AL354794.2",0.0179064917195898
"651","MSANTD3",0.00235187328747695
"652","AC104333.2",0.020897999904384
"653","WDR45BP1",0.149334403460326
"654","LINC01776",-0.103418199751671
"655","AL139130.1",-0.051587562260094
"656","OR2V2",-0.0338410037369025
"657","PLOD1",-0.047446530464373
"658","SNCA-AS1",0.0183360430920875
"659","CLPSL2",0.053094935815415
"660","PSMB3P2",-0.103160681375213
"661","Y_RNA",-0.045913069804386
"662","LINC002481",0.0508902382826846
"663","AL049636.1",0.107386101086145
"664","RNA5S10",NA
"665","RNU6-464P",-0.0530539557732994
"666","AC244502.3",0.352758352715428
"667","CD79B",0.762744455978765
"668","AC091812.2",-0.123379623866982
"669","SNORD42",-0.0624989346982121
"670","FARS2",0.185139106885326
"671","AC020656.2",0.0220048948425001
"672","DDX60L",0.0259104178133252
"673","RN7SL802P",0.0291007326142861
"674","VNN2",0.394910677584349
"675","SH3D21",-0.262728033672694
"676","RNU6-1307P",-0.106815297623576
"677","IGHJ1P",0.440065055410836
"678","LINC01219",-0.106992095003923
"679","PRKAG2-AS1",0.310026265736799
"680","LINC01994",-0.0406709378326344
"681","RCN3",0.167858859734596
"682","PPP4C",-0.257080750967174
"683","COX6CP17",0.0192615355021553
"684","AC003101.3",NA
"685","AL121929.1",-0.013840692362046
"686","MIR638",NA
"687","JAKMIP3",0.203054349870761
"688","AL365440.1",-0.0161216628216223
"689","AC099494.1",0.0964625101734474
"690","AC004233.2",-0.0420958445593895
"691","ALDOA",-0.486694448563844
"692","AC023866.2",0.0673645643582648
"693","CTAGE6",-0.00630043147104821
"694","NCEH1",0.0944640903883726
"695","SMARCC2",0.0557273538887523
"696","RFX4",0.255386883743899
"697","NRAP",-0.000509661677411274
"698","NPM1P19",-0.0640886385724524
"699","RCAN3",0.246134537503073
"700","RNU6-18P",-0.0040677371878341
"701","GALC",0.0870093587238773
"702","ZBTB21",0.262941026005966
"703","MIR548AM",0.0203768156777169
"704","KBTBD8",0.806829887800814
"705","MIR574",-0.051368879199694
"706","ZNF451",0.296896383211029
"707","AC012506.2",0.0516016862358205
"708","AC007557.2",0.0683051365524578
"709","LCN6",0.55192109086396
"710","MED31",0.188851543348419
"711","RNF24",0.108925672642727
"712","BCL7C",-0.174391951676618
"713","SNORD114-6",0.0855887624862948
