"","variable","R"
"1","LINC02082",0.158228529893131
"2","AC090241.2",-0.00762976234326391
"3","RAB4B",-0.116077835759024
"4","TIGAR",0.277313032045393
"5","RNF44",-0.0884624839882516
"6","NUP210P2",0.0384505889191473
"7","DNAH3",-0.126918548347767
"8","RPL23A",-0.190191205407218
"9","EHD4-AS1",-0.0523532285838023
"10","RPL7L1P12",0.0083944413060312
"11","AC244102.2",-0.0332471456179343
"12","Y_RNA",NA
"13","ARL8B",0.280231226069465
"14","AC007114.2",-0.203892423877023
"15","CALB2",0.176020248205739
"16","MFSD3",-0.499179382342139
"17","AC092839.2",-0.188635261069222
"18","LINC00636",0.0552469115044445
"19","PIGV",0.0331322513190098
"20","AC055876.5",-0.0488869913665793
"21","PIGFP2",0.11325925334921
"22","CHIAP1",0.184475511401023
"23","AL031728.1",0.246349520418898
"24","AC128716.1",NA
"25","ZNF708",0.112259898420572
"26","LINC01224",-0.0240603523773198
"27","AC127002.2",-0.111762375541812
"28","MYADML2",-0.0768990355535462
"29","DNM3-IT1",0.00988921107923988
"30","PHEX",0.0871686053281923
"31","KRT8P47",0.086066615510801
"32","MOGAT2",-0.13365972268187
"33","AC006557.5",0.0238993897231467
"34","PFN2",0.204859808247183
"35","AC007861.1",0.0210596934130518
"36","CASC23",-0.0771527238634063
"37","DNM1P41",-0.0242573595964641
"38","AC005324.5",-0.20195592888555
"39","RMND5A",-0.204933459801678
"40","AC092301.1",-0.0635365357226939
"41","AL590730.2",NA
"42","AC245008.1",0.139196353396591
"43","RAD23A",-0.220846176737853
"44","TTC41P",0.0501855720585908
"45","U1",0.0475139245916851
"46","OR2D2",-0.100005315931997
"47","SERPINB11",-0.00808962429411736
"48","AL135937.1",0.052631038079191
"49","LINC02292",-0.0794459987709406
"50","SIN3B",0.104385153837196
"51","LINC00705",-0.0885280676058839
"52","RPL7P17",0.014393755759848
"53","TLL2",-0.0942431357248856
"54","AC025588.4",-0.0217276693691626
"55","AL606490.3",0.0143604299566604
"56","CTSA",0.222104224911942
"57","AL671277.1",0.103567024407528
"58","IL32",0.277014444662303
"59","AC116351.1",0.396700211300338
"60","AC103810.5",-0.120133085943088
"61","ASS1P7",-0.125626491381327
"62","THAP12P4",-0.157216032235075
"63","PTPN4",0.136618657133103
"64","NUCB2",-0.0180436355601649
"65","AC087741.2",-0.177250428224072
"66","SERPINB12",-0.0733553162273914
"67","AC023830.2",-0.156353634537183
"68","AC021613.1",-0.0304866396886039
"69","GGT3P",-0.0333193116751479
"70","TMEM143",-0.228685090835258
"71","DACH1",-0.0151851590127109
"72","AC145350.3",0.0844274690084141
"73","Metazoa_SRP",-0.110567059124089
"74","COLCA1",-0.101879010401789
"75","AC008403.1",0.0999899681870301
"76","RN7SL560P",-0.0174299559979944
"77","BMP2KL",0.0210159591255748
"78","RNU6-820P",-0.0228802091961954
"79","AC093367.1",-0.000288842945483311
"80","FGF23",-0.116746456695044
"81","AC114689.1",-0.107933754052299
"82","SERTAD2",0.334727404648607
"83","ST3GAL6",0.301560318134904
"84","AP001029.1",-0.0282380202579171
"85","PKP2",-0.0890477152591092
"86","AL357315.1",0.0673094023691415
"87","RNU6-453P",-0.0677525503883694
"88","TRIM51HP",NA
"89","AC005046.1",0.175078702657726
"90","RPL35AP28",0.0279899682131275
"91","AP005242.3",0.0705388650864062
"92","KRT1",0.308661616632629
"93","AC016583.1",0.0878524582322406
