"","variable","R"
"1","LINC02082",0.150509593422653
"2","AC090241.2",0.0648954942227274
"3","RAB4B",0.0701650491524597
"4","TIGAR",0.175602225869412
"5","RNF44",0.0706686665386059
"6","NUP210P2",0.111217887501513
"7","DNAH3",-0.183469008122572
"8","RPL23A",0.0494092448625553
"9","EHD4-AS1",-0.0186271132752386
"10","RPL7L1P12",0.117835131703392
"11","AC244102.2",-0.0148551076165238
"12","Y_RNA",NA
"13","ARL8B",-0.0365620250594438
"14","AC007114.2",-0.161647860458818
"15","CALB2",-0.00440615448314026
"16","MFSD3",-0.233737189357151
"17","AC092839.2",-0.184402861492637
"18","LINC00636",0.25635488146406
"19","PIGV",-0.00109183453083462
"20","AC055876.5",-0.0130215945839853
"21","PIGFP2",0.00792193760464091
"22","CHIAP1",0.253020849325777
"23","AL031728.1",0.363443548571707
"24","AC128716.1",NA
"25","ZNF708",0.222635710453843
"26","LINC01224",0.063490218105988
"27","AC127002.2",0.0402602718376686
"28","MYADML2",0.0355251854504934
"29","DNM3-IT1",0.0600244185895552
"30","PHEX",0.308065541921171
"31","KRT8P47",0.0344090169047671
"32","MOGAT2",0.00411055501948086
"33","AC006557.5",0.204364128455113
"34","PFN2",0.14732998185584
"35","AC007861.1",0.0281299374509284
"36","CASC23",-0.00200447120115947
"37","DNM1P41",0.0130532815733932
"38","AC005324.5",0.0708682674287819
"39","RMND5A",-0.235596393462529
"40","AC092301.1",0.153415498109744
"41","AL590730.2",NA
"42","AC245008.1",0.132906916110522
"43","RAD23A",-0.0889461955488584
"44","TTC41P",0.273899182965391
"45","U1",-0.0119049001888504
"46","OR2D2",-0.0396237854538774
"47","SERPINB11",-0.0815016613580291
"48","AL135937.1",0.0698926884023663
"49","LINC02292",-0.045037196615045
"50","SIN3B",0.252042586523159
"51","LINC00705",-0.116436743621555
"52","RPL7P17",0.0635038989625308
"53","TLL2",0.0295770708776777
"54","AC025588.4",0.00539609038873927
"55","AL606490.3",0.0225071014867969
"56","CTSA",0.0298895923386459
"57","AL671277.1",0.167297515454385
"58","IL32",0.139236273191531
"59","AC116351.1",0.170719326864604
"60","AC103810.5",-0.0221148512584694
"61","ASS1P7",0.0909753699726544
"62","THAP12P4",0.0309927307099518
"63","PTPN4",0.0495326609808994
"64","NUCB2",0.07631793982668
"65","AC087741.2",0.0829306550708598
"66","SERPINB12",0.00438894185388254
"67","AC023830.2",-0.00355019784575819
"68","AC021613.1",0.0330787004194808
"69","GGT3P",-0.102814261815763
"70","TMEM143",0.118930340558816
"71","DACH1",0.0401470642390849
"72","AC145350.3",0.0162851269376736
"73","Metazoa_SRP",0.0239160884719655
"74","COLCA1",0.0733201225004504
"75","AC008403.1",-0.0280364077864674
"76","RN7SL560P",0.0246495577245701
"77","BMP2KL",0.0304410709623973
"78","RNU6-820P",-0.0293569248864851
"79","AC093367.1",-0.00149654864088392
"80","FGF23",-0.108027988378011
"81","AC114689.1",0.0792557756154425
"82","SERTAD2",0.190322583855778
"83","ST3GAL6",0.133296374850582
"84","AP001029.1",0.168091440063946
"85","PKP2",-0.18532821222795
"86","AL357315.1",0.140067498796845
"87","RNU6-453P",-0.0317913401637235
"88","TRIM51HP",NA
"89","AC005046.1",0.295280030177232
"90","RPL35AP28",0.0837386987848564
"91","AP005242.3",0.143279362475725
"92","KRT1",0.24375220406819
"93","AC016583.1",0.190283719377089
"94","AC026185.1",-0.0650948186833614
"95","PDLIM1P3",0.12011950749928
"96","RNU6-1273P",0.0120255633086145
"97","RNA5SP218",-0.12482953787311
"98","AL080312.2",-0.149773169107164
"99","RAET1K",0.150476599978988
"100","AC021506.1",NA
"101","AC026464.3",NA
"102","AC022150.3",0.0648418716492623
"103","Y_RNA",0.019444244777213
"104","DDX11L10",-0.0612154973606147
"105","SLC45A4",-0.335485816601658
"106","AC022743.1",0.128036879932896
"107","RNA5SP128",0.125316924088009
"108","MTRF1",0.053388419387876
"109","AL135924.2",0.109970138193974
"110","AC112673.1",-0.0358702339819391
"111","AL157858.2",0.0190191535767444
"112","MTND5P14",-0.0606813718697271
"113","IGSF11-AS1",0.0112985306759279
"114","U8",NA
"115","AC018648.1",0.0568919579310573
"116","AC009133.2",-0.221042303736974
"117","RARRES2P7",-0.0716046451213791
"118","MTND2P28",-0.0818895803951505
"119","FMO7P",0.0752709959269403
"120","ESM1",-0.176531827922101
"121","KF459542.1",NA
"122","AC006458.1",0.131799530543436
"123","AP003730.1",0.128036879932896
"124","RWDD2A",0.247470218396765
"125","LINC00592",-0.138380383872929
"126","ENTPD1-AS1",0.231828220687925
"127","LINC01181",0.0133764787595884
"128","ACOXL-AS1",0.231512031709819
"129","AC104463.1",-0.0261230922617268
"130","PPIAP6",0.0201294315477632
"131","AC092447.4",NA
"132","SCFD2",0.153244002623588
"133","GFOD1-AS1",0.172225030091461
"134","YWHAB",-0.0256357174208818
"135","AL669914.2",NA
"136","TMEM155",0.461999157755444
"137","AC013652.1",0.0467140890728674
"138","TOMM40",0.0686920180625461
"139","AL109806.1",0.299065869486349
"140","PRSS48",-0.21799854572268
"141","AL591806.2",-0.123418464277226
"142","ADTRP",-0.0227513633002266
"143","NDUFAF2",0.0982442066582996
"144","SEPSECS",0.0686820651497764
"145","AC138894.3",0.13335614387338
"146","Z98885.3",-0.0297185501324438
"147","DCDC2C",0.195481564414741
"148","CWC27",0.0800920843489451
"149","RNA5SP37",-0.163270286160095
"150","AC084125.1",NA
"151","AL512306.3",0.303301294726425
"152","AC105391.1",NA
"153","FO082796.1",-0.0378310985138023
"154","SMARCE1P1",-0.0207120533710896
"155","PHBP19",-0.0436566172770489
"156","LINC02453",0.255743079490928
"157","AL117327.1",0.0436835515359844
"158","LINC02061",-0.0167983210954332
"159","AL133445.2",0.284063051579254
"160","LHX5",0.075677769091805
"161","MYOM2",0.203828686484243
"162","AL158151.2",-0.00452441800316364
"163","AC093227.2",0.050494222540411
"164","MTND6P7",NA
"165","EVX1",-0.0750798164663911
"166","GLYATL1P1",0.3137111190884
"167","MAP9",0.0486130118409803
"168","RNU7-147P",NA
"169","RNU1-47P",0.0897069128970343
"170","APIP",-0.0379673763425235
"171","AC097063.1",0.0151583420172863
"172","MAF1",0.0617209979586576
"173","Z82195.1",-0.123792563471032
"174","FOXP1",0.0627680443820286
"175","OR5L2",0.0169028661398101
"176","PLCE1",-0.129647637029215
"177","PRAMEF4",NA
"178","RAD17",0.212266765930383
"179","AC026877.1",-0.0598896620090353
"180","AC005086.4",-0.0591712051740184
"181","AC108043.1",-0.0423314879582135
"182","CICP17",0.0949362954392853
"183","SPCS2",-0.0555760696146531
"184","PPIAP45",0.118623538938605
"185","DGCR11",-0.0100633901014301
"186","SETDB2",0.366481177549016
"187","AC131212.2",0.0856741041846891
"188","DESI2",-0.0018482559013308
"189","PAX3",-0.00506903021822342
"190","COX17",-0.124707011130342
"191","PSORS1C3",-0.0963095521281776
"192","NLGN2",0.336976762934557
"193","AC090686.1",0.124241713114375
"194","SERPINE3",0.176501735316355
"195","HAO1",0.0834353543881636
"196","AC087045.2",0.391737405212306
"197","LINC02201",0.112642240970757
"198","AC079062.1",0.157896791949074
"199","AC127496.4",0.0386445000831436
"200","PKMYT1",0.0122351156677758
"201","HSPA8P15",0.112283231717623
"202","OR4A7P",0.128036879932896
"203","XIAPP2",-0.106676264279872
"204","AC107075.1",-0.00406775747327319
"205","AL355810.1",0.0200879745710148
