"","variable","R"
"1","LINC02082",0.162385663114213
"2","AC090241.2",0.170254237447744
"3","RAB4B",0.00820816716116055
"4","TIGAR",0.28218995930254
"5","RNF44",0.00709344093095565
"6","NUP210P2",0.134439265241818
"7","DNAH3",-0.171702674646249
"8","RPL23A",0.0164332542740296
"9","EHD4-AS1",-0.00935984816491869
"10","RPL7L1P12",0.101357945669245
"11","AC244102.2",-0.0120255633086145
"12","Y_RNA",NA
"13","ARL8B",0.0669203995895419
"14","AC007114.2",-0.115511669414443
"15","CALB2",-0.0504423572080487
"16","MFSD3",-0.304862694591886
"17","AC092839.2",-0.105952536800059
"18","LINC00636",0.257726458331424
"19","PIGV",-0.0345037626986726
"20","AC055876.5",-0.0296727458138853
"21","PIGFP2",0.116119774279562
"22","CHIAP1",0.247996673988401
"23","AL031728.1",0.474082117502098
"24","AC128716.1",NA
"25","ZNF708",0.250147551931811
"26","LINC01224",-0.0588197259681908
"27","AC127002.2",-0.086256488808823
"28","MYADML2",-0.0601049131798428
"29","DNM3-IT1",0.0657799345673399
"30","PHEX",0.269127756583603
"31","KRT8P47",0.0254518323657598
"32","MOGAT2",-0.120468125532185
"33","AC006557.5",0.169603379464823
"34","PFN2",0.141877776240606
"35","AC007861.1",0.0362261560855255
"36","CASC23",-0.000911123273254305
"37","DNM1P41",0.128599248224728
"38","AC005324.5",0.0841267973689885
"39","RMND5A",-0.189498482678448
"40","AC092301.1",0.060757676945844
"41","AL590730.2",NA
"42","AC245008.1",0.192287645461648
"43","RAD23A",-0.273451301890755
"44","TTC41P",0.238866920598648
"45","U1",0.0730010938952842
"46","OR2D2",-0.194569543390847
"47","SERPINB11",-0.0202150166991892
"48","AL135937.1",0.0742451962202444
"49","LINC02292",0.0441803260551682
"50","SIN3B",0.2394999258508
"51","LINC00705",-0.0546475093724516
"52","RPL7P17",0.0914528602315118
"53","TLL2",-0.102239305844052
"54","AC025588.4",-0.0667649059027567
"55","AL606490.3",0.0151289838745978
"56","CTSA",-0.0416718504754009
"57","AL671277.1",0.112419145024887
"58","IL32",0.149579340141789
"59","AC116351.1",0.34450116498844
"60","AC103810.5",-0.159750331307428
"61","ASS1P7",0.00223941268360514
"62","THAP12P4",-0.0186786546689441
"63","PTPN4",0.177250428224072
"64","NUCB2",0.0123824187767671
"65","AC087741.2",-0.0291112745600564
"66","SERPINB12",0.00100358445505445
"67","AC023830.2",-0.0608303748531471
"68","AC021613.1",0.0107031850516981
"69","GGT3P",0.0587375041161285
"70","TMEM143",-0.0802214722149511
"71","DACH1",0.0732623956063862
"72","AC145350.3",0.0950428550113872
"73","Metazoa_SRP",-0.153749287119632
"74","COLCA1",0.0739809959083576
"75","AC008403.1",0.0131386006644062
"76","RN7SL560P",0.0189637763538863
"77","BMP2KL",0.0714809956064367
"78","RNU6-820P",0.00812908553814484
"79","AC093367.1",0.0599535299839245
"80","FGF23",-0.215216694091694
"81","AC114689.1",-0.0329707133341238
"82","SERTAD2",0.282906569021957
"83","ST3GAL6",0.197134357355352
"84","AP001029.1",0.115073401533951
"85","PKP2",-0.138402219101431
"86","AL357315.1",0.0882609496908046
"87","RNU6-453P",-0.0274647080704357
"88","TRIM51HP",NA
"89","AC005046.1",0.348846606703685
"90","RPL35AP28",0.09950443854078
"91","AP005242.3",0.110628289109596
"92","KRT1",0.345395899852866
"93","AC016583.1",0.119759221137348
"94","AC026185.1",-0.0276749436586924
"95","PDLIM1P3",0.0175607190791862
"96","RNU6-1273P",0.0785198545444832
"97","RNA5SP218",-0.114495144983142
"98","AL080312.2",-0.0895626563142687
"99","RAET1K",0.110306244226496
"100","AC021506.1",NA
"101","AC026464.3",NA
"102","AC022150.3",0.144007720094371
"103","Y_RNA",-0.0412762168997476
"104","DDX11L10",-0.0433394966158251
"105","SLC45A4",-0.307024467245462
"106","AC022743.1",0.128036879932896
"107","RNA5SP128",-0.129495809597227
"108","MTRF1",0.0103420716589814
"109","AL135924.2",0.116047986833608
"110","AC112673.1",-0.0696958255573076
"111","AL157858.2",0.013195444074366
"112","MTND5P14",-0.019362016857633
"113","IGSF11-AS1",0.00149219802487323
"114","U8",NA
"115","AC018648.1",-0.0973167889054598
"116","AC009133.2",-0.149801798128472
"117","RARRES2P7",-0.032791700669449
"118","MTND2P28",-0.145148303376725
"119","FMO7P",0.159052898704889
"120","ESM1",-0.309669951459644
"121","KF459542.1",NA
"122","AC006458.1",0.0860721583089321
"123","AP003730.1",0.128036879932896
"124","RWDD2A",0.254051084320082
"125","LINC00592",-0.155692868430631
"126","ENTPD1-AS1",0.291766651969532
"127","LINC01181",-0.0872831884361435
"128","ACOXL-AS1",0.126229072554751
"129","AC104463.1",0.0218948933148058
"130","PPIAP6",0.0161794001753521
"131","AC092447.4",NA
"132","SCFD2",0.0988573060849123
"133","GFOD1-AS1",0.226172554456959
"134","YWHAB",0.0613248720304241
"135","AL669914.2",NA
"136","TMEM155",0.531796710259826
"137","AC013652.1",0.0908195145160345
"138","TOMM40",-0.151836660757954
"139","AL109806.1",0.33718818853205
"140","PRSS48",-0.0616088160419284
"141","AL591806.2",-0.0729283148381783
"142","ADTRP",0.0573277822621179
"143","NDUFAF2",-0.102715055074443
"144","SEPSECS",-0.0249589193525431
"145","AC138894.3",0.137670157580672
"146","Z98885.3",-0.0129796581358116
"147","DCDC2C",0.275216970769202
"148","CWC27",0.06437643508561
"149","RNA5SP37",-0.140963758188072
"150","AC084125.1",NA
"151","AL512306.3",0.443117031639811
"152","AC105391.1",NA
"153","FO082796.1",0.0216931993982879
"154","SMARCE1P1",-0.0594074627411868
"155","PHBP19",-0.0494012234782098
"156","LINC02453",0.222711352590892
"157","AL117327.1",-0.0713507961383379
"158","LINC02061",0.00917070929859496
"159","AL133445.2",0.344253973696023
"160","LHX5",-0.0485618973178703
"161","MYOM2",0.0946293087403494
"162","AL158151.2",-0.0878325236321672
"163","AC093227.2",0.0434093771100994
"164","MTND6P7",NA
"165","EVX1",-0.0526571947570717
"166","GLYATL1P1",0.465729926083507
"167","MAP9",0.0797039207509274
"168","RNU7-147P",NA
"169","RNU1-47P",0.183065712417112
"170","APIP",-0.0293899561176076
"171","AC097063.1",0.0409620185018421
"172","MAF1",0.0906580965452445
"173","Z82195.1",-0.119548247009168
"174","FOXP1",0.0742656492135706
"175","OR5L2",0.0203790642075151
"176","PLCE1",-0.0726353621018959
"177","PRAMEF4",NA
"178","RAD17",0.151474374733138
"179","AC026877.1",0.0530719167617999
"180","AC005086.4",-0.111200142131896
"181","AC108043.1",-0.0317934325817522
"182","CICP17",-0.0319929423061162
"183","SPCS2",-0.053991565901719
"184","PPIAP45",0.132200155492245
"185","DGCR11",0.00214087153675959
"186","SETDB2",0.43499304789043
"187","AC131212.2",0.116157041821795
"188","DESI2",0.0940181998962906
"189","PAX3",0.0304238529803102
"190","COX17",-0.257783426608714
"191","PSORS1C3",0.0334229429030779
"192","NLGN2",0.311503277991821
"193","AC090686.1",0.0713865279606992
"194","SERPINE3",0.0891541034818987
"195","HAO1",0.0561351671436329
"196","AC087045.2",0.462700619471811
"197","LINC02201",0.118406427158348
"198","AC079062.1",0.176619254900382
"199","AC127496.4",0.0368365416019644
"200","PKMYT1",-0.0711901991677374
"201","HSPA8P15",0.161074065620049
"202","OR4A7P",0.128036879932896
"203","XIAPP2",-0.1276609602166
"204","AC107075.1",0.101583459445108
"205","AL355810.1",-0.156425213285079
"206","EIF3LP3",-0.0230567710408196
"207","AP001626.1",0.056744868528616
"208","FAM89B",0.179981507488074
"209","AL356215.1",0.180841799132264
"210","IGLJ6",0.256250090118669
"211","AL592464.1",0.0053276824923956
"212","TMEM251P1",-0.117092773019248
"213","Z97832.2",0.104418993740613
"214","MED8",0.0594596961773848
"215","PHF1",0.104568287432158
"216","ZNF781",0.438747286587156
"217","IGHV1-24",0.554753236212561
"218","RNU6-1329P",0.171881377536219
"219","AC103563.2",0.365407736750773
"220","DIPK1A",0.31146744750585
"221","AC008489.1",-0.0948952238153194
"222","ANKMY1",0.0134792297639866
"223","PSMB6",0.119947528243878
"224","AC027176.2",0.0771130382346823
"225","GUCY1A1",0.444916101921808
"226","AC009237.15",-0.047735164934694
"227","PRKG2",-0.249060693857361
"228","MESTP3",-0.0936003050523716
"229","FBXO45",0.0518775672294375
"230","AC107421.1",0.0991076393039583
"231","AC098657.3",NA
"232","AC002383.1",-0.0482440508137256
"233","AMZ2",0.160764423512363
"234","AC021106.2",0.129205656339576
"235","AC066612.1",0.221473573537978
"236","AC116612.1",NA
"237","TMEM52",0.00663162577844219
"238","RPS2P24",0.141997561669018
"239","RNA5SP177",NA
"240","CHN2",-0.0362913058321083
"241","RN7SL430P",0.0326430582540272
"242","LNCPRESS1",-0.0465295930909658
"243","ZNF460-AS1",-0.0224308795090427
"244","AC021035.1",-0.0974095504497701
"245","AL512504.1",-0.0719840977671605
"246","OR2AS2P",0.126622107778941
"247","AC005828.7",-0.0451746375000268
"248","GCNT4",0.287084801802672
"249","AC012506.3",0.0179525437463167
"250","KLK8",-0.00458580900420808
"251","AC024060.1",NA
"252","RN7SL541P",-0.28463129798277
"253","MIR8081",-0.0247757163405343
"254","AL122016.1",0.015399476962708
"255","AC097527.1",0.031385252856272
"256","IP6K3",0.30778280668963
"257","AL136146.1",-0.0255173173693618
"258","MTF2",0.306309848108598
"259","ITFG2-AS1",0.154421020536502
"260","NOBOX",0.0330785606280258
"261","RBM15B",0.0884784086486831
"262","PIH1D2",-0.193495572446754
"263","AL390778.1",0.106248795636136
"264","KRT18P61",-0.163094323066373
"265","LINC02126",0.391626222875343
"266","AL136981.1",-0.0868334051188347
"267","PCGF7P",0.116286034105335
"268","AL031009.1",-0.0866650310705316
"269","AC008638.2",-0.00781578771320969
"270","VN1R53P",0.0473959250667786
"271","OR52E1",NA
"272","AC009690.1",0.193182983146181
"273","MT1A",0.422868409554398
"274","AC006064.1",0.398904693917229
"275","AC004817.1",0.0566940419496557
"276","AC104009.1",0.0328406390415934
"277","RNU6-391P",0.00444651102442416
"278","AL356234.2",0.170455164206245
"279","ATP2A1",0.103863621208065
"280","AC093424.1",0.185427745150771
"281","IGKV1OR22-5",0.564045508825548
"282","RNU6-448P",0.0884232596221657
"283","DPY19L1P2",-0.241014759174346
"284","OR6C72P",0.0700312216207553
"285","AC027281.2",-0.0261550891466714
"286","RNU1-129P",-0.0430582555189517
"287","NCAPG",-0.0102146743755294
"288","IGHV5-78",0.525660300254863
"289","FANK1",-0.287873072494031
"290","NOP2",0.145980366884271
"291","ZNF880",0.143788735492386
"292","MELTF",-0.0604649403671231
"293","ZNF736P9Y",-0.0640250389170779
"294","PTPRB",0.404250490927422
"295","AC025159.1",0.0898359859504683
"296","AC116914.1",0.443929388439922
"297","AC108145.1",NA
"298","DGKD",0.242418119874872
"299","TMCO1",-0.277151794858524
"300","AC012499.1",-0.0538743814960378
"301","AC117500.5",0.0636228874826781
"302","RAB5C",0.242197165211385
"303","NPBWR2",0.120897281947658
"304","UPP1",0.166170845728857
"305","AP001610.2",0.215151242428274
"306","AC064859.1",-0.040738002107428
"307","AC008760.1",-0.1202702420257
"308","AC093323.2",-0.295815470997115
"309","RNA5SP36",-0.138044779511003
"310","RPS17P17",NA
"311","TRABD2B",0.478785864077051
"312","RPL36P2",0.048446912424481
"313","AC073534.1",0.0987249814751441
"314","RPS3AP17",0.0801180440946244
"315","AC020914.3",0.00559686300197426
"316","AC244157.1",0.264206456999857
"317","AMN",-0.121613645841524
"318","KCNE1B",0.325644893033733
"319","KLK10",-0.108647045152918
"320","AL133338.1",-0.0426910287430168
"321","MRPL57P7",-0.0556567980401675
"322","AF096876.1",NA
"323","KDM5B",-0.246015102549837
"324","KRTAP19-3",-0.0530539557732994
"325","STPG1",-0.13258772746138
"326","AC004951.3",-0.116493867512797
"327","FHOD1",0.357816171691726
"328","PTPRH",-0.216355422496171
"329","PCMTD1",0.016926918747406
"330","AL121957.1",0.0755987750633716
"331","OR14A16",-0.0545778471748884
"332","NDUFS5P6",NA
"333","U3",0.0308749307028448
"334","AC002128.1",0.0407541919180358
"335","AC112907.2",-0.000349348976740272
"336","GLRA3",0.312332819303813
"337","AACSP1",-0.0614072331992837
"338","RPS28P7",0.120755704760777
"339","COX7A2P2",-0.0185899358223548
"340","MINDY4",-0.160449911468841
"341","MAP2K7",0.030011017874436
"342","AC013733.2",0.248540938664997
"343","AP000281.2",0.00488250725046406
"344","SMIM32",0.00353925754219708
"345","AL109955.1",0.424620012248069
"346","ZNF767P",0.173078167191019
"347","AC010376.1",NA
