"","variable","R"
"1","LINC02082",0.233787606367763
"2","AC090241.2",0.15614778366713
"3","RAB4B",0.0108516607927893
"4","TIGAR",0.261444107925405
"5","RNF44",0.00961949019190211
"6","NUP210P2",0.161452788219562
"7","DNAH3",-0.223696690955091
"8","RPL23A",0.0171657886538785
"9","EHD4-AS1",0.103187298658812
"10","RPL7L1P12",0.0641227730187761
"11","AC244102.2",-0.0332471456179343
"12","Y_RNA",NA
"13","ARL8B",0.0163396968939945
"14","AC007114.2",-0.106637564065354
"15","CALB2",-0.133445668542127
"16","MFSD3",-0.356874626143714
"17","AC092839.2",-0.225598007742887
"18","LINC00636",0.222992809512678
"19","PIGV",0.00143819589521972
"20","AC055876.5",-0.0227661326736756
"21","PIGFP2",0.0787431588386565
"22","CHIAP1",0.321273081620005
"23","AL031728.1",0.432431168143513
"24","AC128716.1",NA
"25","ZNF708",0.396596701007533
"26","LINC01224",-0.0675513857525611
"27","AC127002.2",0.0406992416868689
"28","MYADML2",-0.0408390752148483
"29","DNM3-IT1",0.0672471223721274
"30","PHEX",0.211886564662581
"31","KRT8P47",-0.0116147076738008
"32","MOGAT2",-0.105091862942364
"33","AC006557.5",0.282749287478062
"34","PFN2",0.170629750649676
"35","AC007861.1",0.122873384692898
"36","CASC23",-0.0484030504804574
"37","DNM1P41",0.0616333147990037
"38","AC005324.5",0.0955339558505371
"39","RMND5A",-0.175522602567254
"40","AC092301.1",0.0786530497279929
"41","AL590730.2",NA
"42","AC245008.1",0.195155863004303
"43","RAD23A",-0.367335137464655
"44","TTC41P",0.319127209173401
"45","U1",0.0662397408022299
"46","OR2D2",-0.157057986382018
"47","SERPINB11",-0.0551228680527868
"48","AL135937.1",0.06740073034803
"49","LINC02292",0.0312632773234888
"50","SIN3B",0.238946543900805
"51","LINC00705",-0.137846958626716
"52","RPL7P17",0.142956535217789
"53","TLL2",-0.0506135473076873
"54","AC025588.4",-0.0288434535283684
"55","AL606490.3",0.0282462778689944
"56","CTSA",-0.133326233588891
"57","AL671277.1",0.169590666556521
"58","IL32",0.0471539148289443
"59","AC116351.1",0.382123175257855
"60","AC103810.5",-0.0241867356314204
"61","ASS1P7",0.0218888108204883
"62","THAP12P4",0.0330134361590641
"63","PTPN4",0.297071554475775
"64","NUCB2",0.144774073856585
"65","AC087741.2",-0.0216565428955611
"66","SERPINB12",-0.0363036868571149
"67","AC023830.2",-0.037924694634549
"68","AC021613.1",0.0917683881048326
"69","GGT3P",0.00439251127136757
"70","TMEM143",-0.0646192861571903
"71","DACH1",0.179191246214161
"72","AC145350.3",0.114579383291031
"73","Metazoa_SRP",-0.0858426838790144
"74","COLCA1",0.153038972620532
"75","AC008403.1",0.0256597148214693
"76","RN7SL560P",0.0668237030372154
"77","BMP2KL",0.0807349123290298
"78","RNU6-820P",0.0728890660247651
"79","AC093367.1",0.103473204717685
